영역명,업종매핑(사용자가정),"f(수수료율,가정)",상품유형,r(명목최대혜택률),g*(명목),성립불가(r>=f),비고
SK주유&쇼핑,생활서비스,0.004,범용형,0.03,inf,True,
SK주유&쇼핑,생활서비스,0.004,특화형,0.1,inf,True,
SK주유&쇼핑,생활서비스,0.004,혼합형,0.05,inf,True,
택시,생활서비스,0.004,범용형,0.05,inf,True,
택시,생활서비스,0.004,특화형,0.2,inf,True,
택시,생활서비스,0.004,혼합형,0.1,inf,True,
주유/LPG충전,생활서비스,0.004,범용형,0.03,inf,True,
주유/LPG충전,생활서비스,0.004,특화형,0.1,inf,True,
주유/LPG충전,생활서비스,0.004,혼합형,0.05,inf,True,
친환경 충전,생활서비스,0.004,범용형,0.05,inf,True,
친환경 충전,생활서비스,0.004,특화형,0.4,inf,True,
친환경 충전,생활서비스,0.004,혼합형,0.1,inf,True,
차량정비 및 주차,생활서비스,0.004,범용형,0.03,inf,True,
차량정비 및 주차,생활서비스,0.004,특화형,0.2,inf,True,
차량정비 및 주차,생활서비스,0.004,혼합형,0.1,inf,True,
카쉐어링,생활서비스,0.004,범용형,0.03,inf,True,
카쉐어링,생활서비스,0.004,특화형,0.2,inf,True,
카쉐어링,생활서비스,0.004,혼합형,0.1,inf,True,
스포츠센터,여가/오락,0.004,범용형,0.02,inf,True,
스포츠센터,여가/오락,0.004,특화형,0.1,inf,True,
스포츠센터,여가/오락,0.004,혼합형,0.1,inf,True,
당구,여가/오락,0.004,범용형,0.05,inf,True,
당구,여가/오락,0.004,특화형,0.3,inf,True,
당구,여가/오락,0.004,혼합형,0.2,inf,True,
웹툰/도서,여가/오락,0.004,범용형,0.05,inf,True,
웹툰/도서,여가/오락,0.004,특화형,0.3,inf,True,
웹툰/도서,여가/오락,0.004,혼합형,0.2,inf,True,
영화,여가/오락,0.004,범용형,0.05,inf,True,
영화,여가/오락,0.004,특화형,0.3,inf,True,
영화,여가/오락,0.004,혼합형,0.2,inf,True,
골프,여가/오락,0.004,범용형,0.02,inf,True,
골프,여가/오락,0.004,특화형,0.1,inf,True,
골프,여가/오락,0.004,혼합형,0.1,inf,True,
숙박,여가/오락,0.004,범용형,0.02,inf,True,
숙박,여가/오락,0.004,특화형,0.2,inf,True,
숙박,여가/오락,0.004,혼합형,0.1,inf,True,
면세점,소매/유통,0.0115,범용형,0.02,inf,True,
면세점,소매/유통,0.0115,특화형,0.2,inf,True,
면세점,소매/유통,0.0115,혼합형,0.1,inf,True,
항공권,여가/오락,0.004,범용형,0.02,inf,True,
항공권,여가/오락,0.004,특화형,0.2,inf,True,
항공권,여가/오락,0.004,혼합형,0.1,inf,True,
철도/시외·고속버스,생활서비스,0.004,범용형,0.03,inf,True,
철도/시외·고속버스,생활서비스,0.004,특화형,0.2,inf,True,
철도/시외·고속버스,생활서비스,0.004,혼합형,0.1,inf,True,
해외,여가/오락,0.004,범용형,0.02,inf,True,
해외,여가/오락,0.004,특화형,0.1,inf,True,
해외,여가/오락,0.004,혼합형,0.05,inf,True,
디지털 멤버십,미디어/통신,0.0208,범용형,0.05,inf,True,
디지털 멤버십,미디어/통신,0.0208,특화형,0.5,inf,True,
디지털 멤버십,미디어/통신,0.0208,혼합형,0.2,inf,True,
영상 스트리밍,미디어/통신,0.0208,범용형,0.05,inf,True,
영상 스트리밍,미디어/통신,0.0208,특화형,0.5,inf,True,
영상 스트리밍,미디어/통신,0.0208,혼합형,0.2,inf,True,
뮤직,미디어/통신,0.0208,범용형,0.05,inf,True,
뮤직,미디어/통신,0.0208,특화형,0.5,inf,True,
뮤직,미디어/통신,0.0208,혼합형,0.2,inf,True,
